,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1
2,1,0,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1
3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,1,1,1,0,1,1,1,5,1,7,1,5,1,1,1,35,1,1,1,5,1,7,1,5,1,1,1,35,1,1,1,5,1,7,1,5,1,1,1,35,1,1,1,5,1,49,1,5,1,1,1,35,1,1,1,5,1,7,1,5,1,1,1,35,1,1,1,5,1,7,1,5,1,1,1,35,1,1,1,5,1,7,1,5,1,1,1,245,1,1,1,5,1,7,1,5,1,1,1
6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,43,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,43,1,1,1,1,1,1,1,1,1,1
7,1,11,1,1,1,1,0,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1
8,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,5,1,1,1,5,1,1,1,0,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,31,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,155,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,31,1
10,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,7,1,1,1,1,1,0,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1
12,1,11,1,1,1,1,11,1,1,1,1,0,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,1,1
13,5,1,1,1,5,1,1,1,5,1,1,1,0,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,25,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,25,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,25,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,25,1,1,1,5,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1
17,5,11,1,1,35,1,11,1,5,1,7,11,5,1,1,1,0,1,1,1,5,11,7,1,5,1,11,1,35,1,1,11,5,1,7,1,55,1,1,1,35,11,1,1,5,1,77,1,5,1,1,11,35,1,1,1,55,1,7,1,5,11,1,1,35,1,11,1,5,1,7,11,5,1,1,1,385,1,1,1,5,11,7,1,5,1,11,1,35,1,1,11,5,1,7,1,55,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
